date,close_adj,sma200,is_bull
2020-07-13,290.5907,276.4481,1
2020-07-14,294.3564,276.5702,1
2020-07-15,297.0608,276.7131,1
2020-07-16,296.0824,276.8449,1
2020-07-17,296.9408,276.9971,1
2020-07-20,299.3405,277.1848,1
2020-07-21,299.9774,277.3649,1
2020-07-22,301.6849,277.5357,1
2020-07-23,298.0853,277.6943,1
2020-07-24,296.1655,277.864,1
2020-07-27,298.3253,278.032,1
2020-07-28,296.4331,278.1816,1
2020-07-29,300.0789,278.3356,1
2020-07-30,299.0083,278.4858,1
2020-07-31,301.3711,278.6345,1
2020-08-03,303.4662,278.7958,1
2020-08-04,304.6384,278.959,1
2020-08-05,306.5305,279.1376,1
2020-08-06,308.5795,279.3173,1
2020-08-07,308.8011,279.5025,1
2020-08-10,309.724,279.6884,1
2020-08-11,307.1674,279.8592,1
2020-08-12,311.45,280.0459,1
2020-08-13,310.887,280.2221,1
2020-08-14,310.8962,280.3987,1
2020-08-17,311.8838,280.5761,1
2020-08-18,312.5576,280.7604,1
2020-08-19,311.2562,280.9255,1
2020-08-20,312.2253,281.0899,1
2020-08-21,313.3329,281.2613,1
2020-08-24,316.5079,281.4483,1
2020-08-25,317.6155,281.636,1
2020-08-26,320.7998,281.8361,1
2020-08-27,321.5013,282.0423,1
2020-08-28,323.578,282.256,1
2020-08-31,322.4058,282.4634,1
2020-09-01,325.4424,282.684,1
2020-09-02,330.1496,282.9179,1
2020-09-03,318.7877,283.0939,1
2020-09-04,316.1849,283.2573,1
2020-09-08,307.5458,283.3829,1
2020-09-09,313.619,283.541,1
2020-09-10,308.1734,283.6688,1
2020-09-11,308.3303,283.7864,1
2020-09-14,312.3915,283.9211,1
2020-09-15,313.9697,284.0573,1
2020-09-16,312.7237,284.1926,1
2020-09-17,309.9732,284.3263,1
2020-09-18,306.4191,284.4518,1
2020-09-21,303.0087,284.5514,1
2020-09-22,306.0947,284.664,1
2020-09-23,298.9961,284.7281,1
2020-09-24,299.793,284.8008,1
2020-09-25,304.6398,284.8992,1
2020-09-28,309.6996,285.0189,1
2020-09-29,308.013,285.1178,1
2020-09-30,310.3483,285.2276,1
2020-10-01,312.3408,285.3374,1
2020-10-02,309.3753,285.4321,1
2020-10-05,314.8615,285.5541,1
2020-10-06,310.3854,285.6478,1
2020-10-07,315.7882,285.7621,1
2020-10-08,318.5869,285.8882,1
2020-10-09,321.4319,286.0284,1
2020-10-12,326.603,286.1867,1
2020-10-13,324.4715,286.3348,1
2020-10-14,322.4327,286.4807,1
2020-10-15,322.0342,286.6211,1
2020-10-16,321.8396,286.7468,1
2020-10-19,316.9466,286.8592,1
2020-10-20,318.2162,286.9724,1
2020-10-21,317.6138,287.0867,1
2020-10-22,319.356,287.2019,1
2020-10-23,320.4403,287.3125,1
2020-10-26,314.5186,287.3977,1
2020-10-27,313.4343,287.4673,1
2020-10-28,302.7215,287.4856,1
2020-10-29,305.7982,287.5159,1
2020-10-30,302.6103,287.5178,1
2020-11-02,306.002,287.532,1
2020-11-03,311.4048,287.5761,1
2020-11-04,318.3644,287.6549,1
2020-11-05,324.5735,287.7629,1
2020-11-06,324.4993,287.8841,1
2020-11-09,328.5769,288.0497,1
2020-11-10,328.095,288.1974,1
2020-11-11,330.5322,288.3586,1
2020-11-12,327.3258,288.4989,1
2020-11-13,331.8575,288.689,1
2020-11-16,335.9999,288.8889,1
2020-11-17,334.1928,289.0572,1
2020-11-18,330.1708,289.188,1
2020-11-19,331.5609,289.3207,1
2020-11-20,329.2904,289.4502,1
2020-11-23,331.2644,289.5782,1
2020-11-24,336.6022,289.7302,1
2020-11-25,336.0833,289.8698,1
2020-11-27,337.0193,290.0157,1
2020-11-30,335.5273,290.1517,1
2020-12-01,339.1971,290.31,1
2020-12-02,339.9106,290.4645,1
2020-12-03,339.818,290.6249,1
2020-12-04,342.7464,290.8158,1
2020-12-07,342.0421,291.0537,1
2020-12-08,343.0429,291.3412,1
2020-12-09,339.9662,291.6186,1
2020-12-10,339.855,291.9593,1
2020-12-11,339.4565,292.3037,1
2020-12-14,337.9367,292.5819,1
