ticker,category
RBA,S&P MidCap 400
RBC,S&P MidCap 400
RCL,S&P 500
REG,S&P 500
REGN,S&P 500
REXR,S&P MidCap 400
RF,S&P 500
RGA,S&P MidCap 400
RGEN,S&P MidCap 400
RGLD,S&P MidCap 400
RH,S&P MidCap 400
RJF,S&P 500
RL,S&P 500
RLI,S&P MidCap 400
RMBS,S&P MidCap 400
RMD,S&P 500
RNR,S&P MidCap 400
ROIV,S&P MidCap 400
ROK,S&P 500
ROL,S&P 500
ROP,S&P 500
ROST,S&P 500
RPM,S&P MidCap 400
RRC,S&P MidCap 400
RRX,S&P MidCap 400
RS,S&P MidCap 400
RSG,S&P 500
RSP,ETF
RTX,S&P 500
RVTY,S&P 500
RYAN,S&P MidCap 400
RYN,S&P MidCap 400
SAIA,S&P MidCap 400
SAIC,S&P MidCap 400
SAM,S&P MidCap 400
SARO,S&P MidCap 400
SATS,S&P 500
SBAC,S&P 500
SBRA,S&P MidCap 400
SBUX,S&P 500
SCHD,ETF
SCHF,ETF
SCHG,ETF
SCHH,ETF
SCHW,S&P 500
SCHX,ETF
SCI,S&P MidCap 400
SEIC,S&P MidCap 400
SF,S&P MidCap 400
SFM,S&P MidCap 400
SGI,S&P MidCap 400
SGOV,ETF
SHC,S&P MidCap 400
SHV,ETF
SHW,S&P 500
SIGI,S&P MidCap 400
SITM,S&P MidCap 400
SJM,S&P 500
SLAB,S&P MidCap 400
SLB,S&P 500
SLGN,S&P MidCap 400
SLM,S&P MidCap 400
SLV,ETF
SMCI,S&P 500
SMG,S&P MidCap 400
SMH,ETF
SN,S&P MidCap 400
SNA,S&P 500
SNDK,S&P 500
SNPS,S&P 500
SNX,S&P MidCap 400
SO,S&P 500
SOLS,S&P MidCap 400
SOLV,S&P 500
SON,S&P MidCap 400
SOXX,ETF
SPG,S&P 500
SPGI,S&P 500
SPHY,ETF
SPTL,ETF
SPXC,S&P MidCap 400
SR,S&P MidCap 400
SRE,S&P 500
SRLN,ETF
SSB,S&P MidCap 400
SSD,S&P MidCap 400
ST,S&P MidCap 400
STAG,S&P MidCap 400
STE,S&P 500
STLD,S&P 500
STRL,S&P MidCap 400
STT,S&P 500
STWD,S&P MidCap 400
STX,S&P 500
STZ,S&P 500
SW,S&P 500
SWK,S&P 500
SWKS,S&P 500
SWX,S&P MidCap 400
SYF,S&P 500
SYK,S&P 500
SYNA,S&P MidCap 400
SYY,S&P 500
T,S&P 500
TAP,S&P 500
TCBI,S&P MidCap 400
TDG,S&P 500
TDY,S&P 500
TECH,S&P 500
TEL,S&P 500
TER,S&P 500
TEX,S&P MidCap 400
TFC,S&P 500
TGT,S&P 500
THC,S&P MidCap 400
THG,S&P MidCap 400
THO,S&P MidCap 400
TJX,S&P 500
TKO,S&P 500
TKR,S&P MidCap 400
TLN,S&P MidCap 400
TLT,ETF
TMHC,S&P MidCap 400
TMO,S&P 500
TMUS,S&P 500
TNL,S&P MidCap 400
TOL,S&P MidCap 400
TPL,S&P 500
TPR,S&P 500
TREX,S&P MidCap 400
TRGP,S&P 500
TRMB,S&P 500
TROW,S&P 500
TRU,S&P MidCap 400
TRV,S&P 500
TSCO,S&P 500
TSLA,S&P 500
TSN,S&P 500
TT,S&P 500
TTC,S&P MidCap 400
TTD,S&P 500
TTEK,S&P MidCap 400
TTMI,S&P MidCap 400
TTWO,S&P 500
TWLO,S&P MidCap 400
TXN,S&P 500
TXNM,S&P MidCap 400
TXRH,S&P MidCap 400
TXT,S&P 500
TYL,S&P 500
UAL,S&P 500
UBER,S&P 500
UBSI,S&P MidCap 400
UDR,S&P 500
UFPI,S&P MidCap 400
UGI,S&P MidCap 400
UHS,S&P 500
ULS,S&P MidCap 400
ULTA,S&P 500
UMBF,S&P MidCap 400
UNG,ETF
UNH,S&P 500
UNM,S&P MidCap 400
UNP,S&P 500
UPS,S&P 500
URI,S&P 500
USB,S&P 500
USFD,S&P MidCap 400
USHY,ETF
UTHR,S&P MidCap 400
V,S&P 500
VAL,S&P MidCap 400
VB,ETF
VC,S&P MidCap 400
VCIT,ETF
VCLT,ETF
VEA,ETF
VEEV,S&P 500
VFC,S&P MidCap 400
VICI,S&P 500
VICR,S&P MidCap 400
VIG,ETF
VLO,S&P 500
VLTO,S&P 500
VLY,S&P MidCap 400
VMC,S&P 500
VMI,S&P MidCap 400
VNO,S&P MidCap 400
VNOM,S&P MidCap 400
VNQ,ETF
VNT,S&P MidCap 400
VOYA,S&P MidCap 400
VRSK,S&P 500
VRSN,S&P 500
VRT,S&P 500
VRTX,S&P 500
VST,S&P 500
VTR,S&P 500
VTRS,S&P 500
VTV,ETF
VUG,ETF
VVV,S&P MidCap 400
VWO,ETF
VXX,ETF
VZ,S&P 500
WAB,S&P 500
WAL,S&P MidCap 400
WAT,S&P 500
WBD,S&P 500
WBS,S&P MidCap 400
WCC,S&P MidCap 400
WDAY,S&P 500
WDC,S&P 500
WEC,S&P 500
WELL,S&P 500
WEX,S&P MidCap 400
WFC,S&P 500
WFRD,S&P MidCap 400
WH,S&P MidCap 400
WHR,S&P MidCap 400
WING,S&P MidCap 400
WLK,S&P MidCap 400
WM,S&P 500
WMB,S&P 500
WMG,S&P MidCap 400
WMS,S&P MidCap 400
WMT,S&P 500
WPC,S&P MidCap 400
WRB,S&P 500
WSM,S&P 500
WSO,S&P MidCap 400
WST,S&P 500
WTFC,S&P MidCap 400
WTRG,S&P MidCap 400
WTS,S&P MidCap 400
WTW,S&P 500
WWD,S&P MidCap 400
WY,S&P 500
WYNN,S&P 500
XBI,ETF
XEL,S&P 500
XLC,ETF
XLE,ETF
XLF,ETF
XLI,ETF
XLK,ETF
XLP,ETF
XLU,ETF
XLV,ETF
XLY,ETF
XOM,S&P 500
XOP,ETF
XPO,S&P MidCap 400
XRAY,S&P MidCap 400
XRT,ETF
XYL,S&P 500
XYZ,S&P 500
YETI,S&P MidCap 400
YUM,S&P 500
ZBH,S&P 500
ZBRA,S&P 500
ZION,S&P MidCap 400
ZTS,S&P 500
